term,Plot freq,Negative freq,Positive freq
married,7,1,1
life,73,42,66
leaves,5,13,4
him,62,18,27
alone,4,10,6
in,312,622,676
cold,1,10,5
will lightman,1,0,0
lightman is,1,0,0
is a,40,91,160
a hip,3,2,2
hip londoner,1,0,0
londoner who,1,0,0
who one,2,0,0
one day,6,0,0
day realizes,1,0,0
realizes that,3,0,0
that his,7,2,1
his friends,3,0,0
friends are,1,0,0
are all,4,2,3
all involved,1,1,1
involved with,1,1,0
with the,33,36,55
the responsibilities,2,0,0
responsibilities of,2,0,0
of married,1,0,0
married life,1,0,0
life and,6,1,4
and that,2,10,8
that leaves,2,3,1
leaves him,1,1,0
him alone,2,0,0
alone in,2,1,0
in the,75,155,146
the cold,1,1,0
passing,1,0,0
himself,19,9,6
single,6,8,7
father,26,1,4
he,157,65,93
starts,10,10,4
meet,4,2,2
string,1,4,2
mums,1,0,0
confident,1,0,0
ability,1,3,8
leave,6,13,15
them,28,46,44
behind,12,5,8
they,102,89,53
start,7,11,5
ask,1,4,2
for,152,364,376
commitment,1,1,0
passing himself,1,0,0
himself as,3,1,0
as a,21,61,72
a single,2,4,5
single father,1,0,0
father he,1,0,0
he starts,1,0,0
starts to,4,1,0
to meet,2,0,0
meet a,1,0,0
a string,1,2,1
string of,1,2,2
of single,2,0,0
single mums,1,0,0
mums confident,1,0,0
confident in,1,0,0
in his,11,14,12
his ability,1,1,0
ability to,1,2,7
to leave,3,3,3
leave them,1,0,0
them behind,1,0,0
behind when,1,0,0
when they,4,2,2
they start,1,0,0
start to,3,5,3
to ask,1,1,2
ask for,1,1,0
for a,24,64,31
a commitment,1,0,0
but,75,372,382
s,226,749,808
hope,5,11,14
continued,2,0,1
bachelorhood,1,0,0
interrupted,1,0,0
meets,12,2,3
12,5,1,4
marcus,5,3,1
many,7,45,46
ways,4,11,15
opposite,2,2,0
but will,1,1,0
will s,1,0,0
s hope,1,1,0
hope of,1,1,0
of a,43,104,91
a continued,1,0,0
continued bachelorhood,1,0,0
bachelorhood is,1,0,0
is interrupted,1,0,0
interrupted when,1,0,0
when he,12,1,4
he meets,4,0,0
meets 12,1,0,0
12 year,4,0,2
old marcus,1,0,0
marcus in,1,0,0
in many,1,1,7
many ways,1,1,3
ways his,1,0,0
his complete,1,0,0
complete opposite,1,0,0
based,10,6,14
on,137,207,217
nick,10,1,1
hornby,1,0,2
popular,6,0,9
british,6,2,2
novel,1,10,7
boy,14,9,17
comedy,7,89,90
drama,6,28,53
starring,1,3,4
hugh,2,4,7
grant,4,7,21
rich,4,2,11
child,5,5,3
free,4,6,3
irresponsible,2,2,1
thirties,1,0,0
search,8,4,5
available,1,0,2
women,17,7,5
invents,1,0,0
imaginary,1,1,0
son,17,0,3
attending,1,0,0
parent,2,0,0
meetings,2,0,0
based on,6,4,7
on nick,1,0,0
nick hornby,1,0,1
hornby s,1,0,1
s popular,2,0,2
popular british,1,0,0
british novel,1,0,0
novel about,1,1,0
about a,9,15,13
a boy,2,0,6
boy is,2,0,0
a comedy,3,6,4
comedy drama,2,1,0
drama starring,1,0,0
starring hugh,1,0,0
hugh grant,2,4,5
grant as,1,0,0
as will,2,0,1
will a,1,1,0
a rich,1,0,2
rich child,1,0,0
child free,1,0,0
free and,1,0,0
and irresponsible,1,0,0
irresponsible londoner,1,0,0
londoner in,1,0,0
his thirties,1,0,0
thirties who,1,0,0
who in,1,0,1
in search,7,3,3
search of,7,3,3
of available,1,0,0
available women,1,0,0
women invents,1,0,0
invents an,1,0,0
an imaginary,1,0,0
imaginary son,1,0,0
son and,2,0,0
and starts,1,0,0
starts attending,1,0,0
attending single,1,0,0
single parent,1,0,0
parent meetings,1,0,0
result,3,8,5
liaisons,1,0,0
odd,3,5,3
problems,1,7,5
school,21,13,9
a result,2,0,0
result of,2,0,0
of one,3,4,9
one of,13,45,84
of his,32,7,20
his liaisons,1,0,0
liaisons he,1,0,0
meets marcus,1,0,0
marcus an,1,0,0
an odd,2,1,2
odd 12,1,0,0
old boy,4,0,2
boy with,1,0,0
with problems,1,0,0
problems at,1,0,0
at school,1,0,0
gradually,3,0,3
become,16,10,16
teaches,3,1,0
how,11,56,45
be,43,265,198
cool,1,13,7
kid,2,7,12
helps,1,0,5
finally,8,9,8
grow,2,2,1
up,51,127,98
gradually will,1,0,0
will and,2,0,0
and marcus,1,0,0
marcus become,1,0,0
become friends,1,0,0
friends and,7,0,1
and as,2,5,7
will teaches,1,0,0
teaches marcus,1,0,0
marcus how,1,0,0
how to,3,7,10
to be,20,100,65
be a,11,30,18
a cool,1,0,0
cool kid,1,0,0
kid marcus,1,0,0
marcus helps,1,0,0
helps will,1,0,0
will to,2,0,1
to finally,1,0,2
finally grow,1,0,0
grow up,1,2,0
warren,1,0,2
schmidt,1,1,10
nicholson,1,1,11
deal,3,8,11
ambiguous,1,1,1
future,10,9,6
enters,1,1,1
retirement,4,0,0
warren schmidt,1,0,0
schmidt nicholson,1,0,1
nicholson is,1,0,0
to deal,2,0,1
deal with,3,0,2
with an,8,6,15
an ambiguous,1,0,0
ambiguous future,1,0,0
future as,1,0,0
as he,7,2,5
he enters,1,0,0
enters retirement,1,0,0
soon,17,5,2
wife,10,3,1
passes,1,3,2
away,10,24,15
come,10,27,26
terms,2,3,12
daughter,15,2,6
marriage,5,2,1
does,9,40,55
not,30,204,161
care,3,18,10
failure,2,6,3
has,92,163,178
soon after,1,0,0
his wife,7,1,0
wife passes,1,0,0
passes away,1,0,0
away and,2,1,1
and he,8,2,11
he must,4,0,0
must come,1,0,0
come to,3,2,5
to terms,2,0,1
terms with,2,0,1
with his,17,6,7
his daughter,1,0,0
daughter s,1,0,0
s marriage,1,0,0
marriage to,2,0,0
to a,21,33,26
a man,11,5,3
man he,2,0,0
he does,2,1,6
does not,2,8,5
not care,1,0,1
care for,2,0,0
for and,1,0,1
and the,38,77,93
the failure,1,1,0
failure that,1,0,0
his life,10,3,1
life has,2,0,0
has become,2,2,2
account,1,1,3
screenwriter,2,5,5
kaufman,3,0,12
cage,3,6,3
attempt,7,11,4
adapt,3,0,0
susan,1,0,2
orlean,1,0,1
streep,1,0,0
non,3,4,5
fiction,1,6,7
book,4,11,22
orchid,1,0,1
thief,2,0,0
story,32,102,132
john,16,23,15
laroche,1,0,0
cooper,2,2,1
plant,2,0,0
dealer,6,1,0
clones,2,1,4
rare,4,3,20
orchids,1,0,0
then,20,30,23
sells,2,0,0
collectors,1,0,0
an account,1,0,0
account of,1,1,3
of screenwriter,1,0,1
screenwriter charlie,1,0,2
charlie kaufman,2,0,5
kaufman s,1,0,3
s cage,1,0,0
cage attempt,1,0,0
attempt to,3,6,2
to adapt,3,0,0
adapt susan,1,0,0
susan orlean,1,0,0
orlean s,1,0,1
s streep,1,0,0
streep non,1,0,0
non fiction,1,0,0
fiction book,1,0,0
book the,1,0,1
the orchid,1,0,0
orchid thief,1,0,0
thief which,1,0,0
is the,17,41,42
the story,16,29,27
story of,18,3,9
of john,1,2,0
john laroche,1,0,0
laroche cooper,1,0,0
cooper a,1,0,0
a plant,1,0,0
plant dealer,1,0,0
dealer who,1,0,0
who clones,1,0,0
clones rare,1,0,0
rare orchids,1,0,0
orchids then,1,0,0
then sells,1,0,0
sells them,1,0,0
them to,3,0,4
to collectors,1,0,0
we,8,64,72
see,6,44,47
action,7,84,48
struggle,4,1,5
it,88,801,826
into,45,78,84
movie,10,424,313
we see,3,0,0
see the,2,4,2
the action,3,15,6
action of,1,0,0
of the,78,225,320
the book,2,5,7
book as,1,0,0
as we,2,0,3
see kaufman,1,0,0
kaufman struggle,1,0,0
struggle to,4,0,2
adapt it,1,0,0
it into,1,0,2
into a,7,23,20
a movie,3,68,51
this,46,388,319
presumably,1,0,0
somewhat,4,3,9
true,13,13,27
real,15,29,41
adaptation,1,5,11
this is,9,67,56
is presumably,1,0,0
presumably a,1,0,0
a somewhat,1,0,0
somewhat true,1,0,0
true story,4,4,2
story as,2,1,4
as charlie,1,0,0
kaufman is,1,0,0
the real,5,3,10
real life,3,0,8
life screenwriter,1,0,0
screenwriter of,1,0,0
of adaptation,1,0,1
ali,2,3,1
g,1,1,1
unwittingly,1,0,0
becomes,14,16,7
pawn,1,1,0
evil,14,8,4
chancellor,3,0,0
plot,3,65,34
overthrow,1,0,0
prime,3,3,2
minister,3,0,0
great,5,23,61
britain,1,0,0
ali g,1,1,0
g unwittingly,1,0,0
unwittingly becomes,1,0,0
becomes a,3,5,2
a pawn,1,0,0
pawn in,1,0,0
the evil,4,1,1
evil chancellor,1,0,0
chancellor s,1,0,0
s plot,1,1,1
plot to,1,2,0
to overthrow,1,0,0
overthrow the,1,0,0
the prime,3,0,1
prime minister,3,0,0
minister of,1,0,0
of great,1,1,1
great britain,1,0,0
however,17,7,4
instead,7,32,7
bringing,1,2,6
down,24,36,28
embraced,1,0,0
by,105,201,197
nation,3,1,1
voice,3,2,3
youth,2,0,2
realness,1,0,0
making,10,19,23
government,9,1,0
more,34,194,170
than,26,175,174
ever,5,40,35
however instead,1,0,0
instead of,4,19,4
of bringing,1,0,1
bringing the,1,0,1
minister down,1,0,0
down ali,1,0,0
ali is,1,0,0
is embraced,1,0,0
embraced by,1,0,0
by the,24,41,30
the nation,1,0,1
nation as,1,0,0
the voice,1,1,0
voice of,1,1,0
of youth,2,0,0
youth and,1,0,0
and realness,1,0,0
realness making,1,0,0
making the,2,1,0
minister and,1,0,0
his government,1,0,0
government more,1,0,0
more popular,1,0,0
popular than,1,0,0
than ever,1,0,1
bounty,3,0,0
hunter,3,0,1
trail,3,0,0
conman,1,0,0
skipped,1,1,0
bail,1,0,0
a bounty,2,0,0
bounty hunter,3,0,0
hunter is,1,0,0
is on,3,1,2
on the,48,58,65
the trail,2,0,0
trail of,2,0,0
a conman,1,0,0
conman who,1,0,0
who skipped,1,0,0
skipped bail,1,0,0
wind,1,4,1
deserted,2,0,0
warehouse,1,0,0
where,20,39,22
witness,2,0,2
diamond,1,0,0
scam,1,1,0
caught,3,1,3
midst,2,0,0
put,6,11,8
their,99,53,73
differences,5,1,2
aside,1,4,6
team,9,7,5
detain,1,0,0
looters,1,0,0
two wind,1,0,0
wind up,1,3,1
up in,3,8,6
in a,45,60,83
a deserted,2,0,0
deserted warehouse,1,0,0
warehouse where,1,0,0
where they,5,1,0
they witness,1,0,0
witness a,1,0,0
a diamond,1,0,0
diamond scam,1,0,0
scam in,1,0,0
in action,1,1,2
action caught,1,0,0
caught in,1,0,0
the midst,1,0,0
midst they,1,0,0
they put,1,0,0
put their,2,0,0
their differences,1,0,0
differences aside,1,0,0
aside to,1,0,0
to team,1,0,0
team up,4,1,0
up and,3,5,6
and detain,1,0,0
detain the,1,0,0
the looters,1,0,0
penny,4,0,0
love,39,25,61
partner,11,0,0
taxi,2,0,2
driver,2,2,2
phil,3,0,0
run,11,18,8
dry,1,4,7
penny s,3,0,0
s love,1,0,1
love for,3,1,4
for her,9,0,0
her partner,1,0,0
partner taxi,1,0,0
taxi driver,1,0,2
driver phil,1,0,0
phil has,1,0,0
has run,1,2,1
run dry,1,0,0
gentle,2,2,6
philosophical,1,2,7
guy,4,10,2
works,6,10,26
checkout,1,1,0
supermarket,1,1,0
he is,16,2,4
a gentle,2,0,2
gentle philosophical,1,0,0
philosophical guy,1,0,0
guy and,1,0,0
and she,2,1,4
she works,1,0,0
works on,1,2,4
the checkout,1,0,0
checkout at,1,0,0
at a,5,14,8
a supermarket,1,0,0
rachel,2,0,0
cleans,1,0,0
home,21,20,13
elderly,3,0,0
people,16,41,28
rory,1,0,0
unemployed,1,0,0
aggressive,2,0,1
their daughter,2,0,0
daughter rachel,1,0,0
rachel cleans,1,0,0
cleans in,1,0,0
a home,2,1,1
home for,1,0,0
for elderly,1,0,0
elderly people,1,0,0
people and,1,0,1
and their,5,4,5
their son,1,0,0
son rory,1,0,0
rory is,1,0,0
is unemployed,1,0,0
unemployed and,1,0,0
and aggressive,1,0,0
joy,1,2,5
gone,2,16,6
out,66,117,93
unexpected,4,1,8
tragedy,4,4,8
occurs,1,2,1
brought,6,0,4
together,22,16,23
rediscover,1,0,1
the joy,1,0,0
joy has,1,0,0
has gone,1,1,1
gone out,1,0,0
out of,21,34,25
of phil,2,0,0
phil s,1,0,0
s and,4,0,3
and penny,3,0,0
s life,9,2,2
life but,1,1,2
but when,5,3,0
when an,1,0,1
an unexpected,3,0,0
unexpected tragedy,1,0,0
tragedy occurs,1,0,0
occurs they,1,0,0
they are,11,7,5
are brought,3,0,0
brought together,1,0,0
together to,2,0,2
to rediscover,1,0,0
rediscover their,1,0,0
their love,1,0,1
or,16,130,94
nothing,5,58,29
set,19,19,11
london,5,1,1
working,11,4,9
class,4,9,11
housing,1,0,1
estate,2,1,0
over,19,60,32
long,12,51,24
weekend,3,0,0
also,20,28,46
tells,8,3,4
stories,3,4,8
range,1,2,3
neighbors,1,0,0
some,20,73,89
whom,5,4,4
family,34,21,43
lives,13,6,12
experience,7,8,11
emotional,3,16,24
journey,9,2,9
all or,1,0,5
or nothing,1,0,4
nothing is,2,0,2
is set,1,0,0
set on,1,0,0
on a,24,21,16
a london,2,0,0
london working,1,0,0
working class,2,1,3
class housing,1,0,0
housing estate,1,0,0
estate over,1,0,0
over a,3,2,2
a long,3,13,6
long weekend,1,0,0
weekend and,1,0,0
and also,1,0,3
also tells,1,0,0
tells the,6,0,1
the stories,1,1,2
stories of,1,0,0
a range,1,0,0
range of,1,2,0
phil and,1,0,0
s neighbors,1,0,0
neighbors some,1,0,0
some of,3,15,17
of whom,2,0,2
whom become,1,0,0
become involved,1,0,0
involved in,1,1,1
the family,9,1,4
family s,3,0,0
s lives,1,0,0
lives and,2,0,1
and all,1,3,6
whom experience,1,0,0
experience an,1,0,0
an emotional,2,3,4
emotional journey,1,0,1
mafia,2,0,0
paul,4,3,3
vitti,1,0,0
de,4,32,40
niro,2,15,9
back,25,27,23
prison,17,3,2
need,6,18,21
serious,3,13,12
counseling,1,0,0
gets,6,27,24
the mafia,1,0,0
mafia s,1,0,0
s paul,2,0,0
paul vitti,1,0,0
vitti de,1,0,0
de niro,2,15,9
niro is,1,0,0
is back,1,0,2
back in,5,1,2
in prison,2,0,0
prison and,2,0,0
and will,2,2,3
will need,2,0,0
need some,1,0,0
some serious,2,0,2
serious counseling,1,0,0
counseling when,1,0,0
he gets,2,2,1
gets out,1,0,0
naturally,1,2,0
returns,7,0,2
analyst,1,0,0
dr,7,1,1
naturally he,1,0,0
he returns,2,0,0
returns to,5,0,0
to his,13,5,3
his analyst,1,0,0
analyst dr,1,0,0
ben,11,4,0
sobel,2,0,0
crystal,1,3,2
help,20,4,9
finds,23,6,8
needs,8,7,6
inherited,2,0,0
practice,1,0,2
well,8,70,81
excess,1,2,1
stock,1,6,4
stress,1,1,0
ben sobel,1,0,0
sobel crystal,1,0,0
crystal for,1,0,0
for help,3,0,0
help and,1,0,0
and finds,2,1,1
finds that,2,0,0
that sobel,1,0,0
sobel needs,1,0,0
needs some,1,0,0
serious help,1,0,0
help himself,1,0,0
he has,14,5,5
has inherited,1,0,0
inherited the,2,0,0
family practice,1,0,0
practice as,1,0,0
as well,6,14,17
well as,4,4,12
as an,9,11,15
an excess,1,0,0
excess stock,1,0,0
stock of,1,0,0
of stress,1,0,0
sailor,1,0,0
derek,1,1,1
luke,1,0,1
prone,1,0,1
violent,4,5,3
outbursts,1,3,0
sent,18,0,1
naval,1,0,1
psychiatrist,2,0,0
washington,2,3,12
a sailor,1,0,0
sailor derek,1,0,0
derek luke,1,0,1
luke prone,1,0,0
prone to,1,0,1
to violent,1,0,0
violent outbursts,1,0,0
outbursts is,1,0,0
is sent,10,0,0
sent to,12,0,0
a naval,1,0,0
naval psychiatrist,1,0,0
psychiatrist washington,1,0,0
washington for,1,0,0
refusing,1,0,1
first,26,38,62
open,6,3,9
eventually,5,8,5
breaks,2,2,2
reveals,2,1,5
horrific,2,1,0
childhood,5,1,0
refusing at,1,0,0
at first,4,1,4
first to,1,0,0
to open,3,0,0
open up,1,0,0
up the,5,7,5
the young,3,1,1
man eventually,1,0,0
eventually breaks,1,0,0
breaks down,1,0,0
down and,3,1,2
and reveals,1,0,0
reveals a,1,0,0
a horrific,2,0,0
horrific childhood,1,0,0
through,9,45,41
guidance,4,0,0
doctor,3,1,1
confronts,1,0,0
painful,3,7,5
quest,5,0,3
find,31,15,22
never,14,58,64
knew,4,1,3
through the,4,12,10
the guidance,1,0,0
guidance of,1,0,0
his doctor,1,0,0
doctor he,1,0,0
he confronts,1,0,0
confronts his,1,0,0
his painful,1,0,0
painful past,1,0,0
past and,2,2,2
and begins,1,0,0
begins a,2,0,0
a quest,2,0,1
quest to,5,0,1
to find,13,2,9
find the,5,1,0
family he,2,0,0
he never,2,0,0
never knew,2,0,1
film,26,272,361
within,4,1,5
contemporary,2,2,8
historical,1,1,7
epic,4,4,9
armenian,1,2,2
holocaust,3,1,0
1915,1,1,1
1918,1,0,0
a film,8,37,41
film within,2,0,0
within a,2,0,0
film this,1,0,1
a contemporary,1,0,0
contemporary story,1,0,0
the making,2,2,0
making of,2,2,0
a historical,1,1,1
historical epic,1,0,1
epic about,1,0,0
about the,3,17,27
the armenian,1,2,1
armenian holocaust,1,0,0
holocaust between,1,0,0
between 1915,1,0,0
1915 and,1,0,0
and 1918,1,0,0
line,1,14,12
follows,8,3,4
transforms,1,0,1
18,4,0,0
hired,3,0,1
production,2,20,7
story line,1,0,2
line follows,1,0,0
follows how,1,0,0
how making,1,0,0
the film,6,128,145
film transforms,1,0,0
transforms the,1,0,0
the life,9,2,2
life of,11,2,3
of an,10,10,20
an 18,1,0,0
18 year,1,0,0
old man,1,1,0
man hired,2,0,0
hired as,1,0,0
a driver,1,1,0
driver on,1,0,0
the production,1,2,1
mini,2,0,2
me,2,35,25
have,38,173,126
somehow,1,4,6
escaped,3,2,1
maximum,1,0,0
security,6,1,0
duo,2,0,0
goldmember,2,4,4
evil and,1,0,0
and mini,1,0,0
mini me,2,0,0
me have,1,0,0
have somehow,1,0,0
somehow escaped,1,0,0
escaped from,1,0,1
from a,8,26,10
a maximum,1,0,0
maximum security,1,0,0
security prison,2,0,0
the duo,1,0,0
duo team,1,0,0
up with,9,11,5
with goldmember,1,0,0
formulate,1,0,0
plan,10,2,1
world,42,11,26
domination,1,0,1
together they,4,0,0
they formulate,1,0,0
formulate a,1,0,0
a plan,5,0,0
plan for,4,0,0
for world,1,0,0
world domination,1,0,1
particular,2,4,1
scheme,4,0,0
requires,1,1,0
large,2,6,5
amount,2,3,4
time,34,97,85
travel,2,1,2
kidnapping,1,1,0
austin,2,6,9
powers,6,5,11
england,1,1,2
master,5,2,1
spy,3,19,12
nigel,1,0,0
and this,1,8,6
this particular,1,0,1
particular scheme,1,0,0
scheme requires,1,0,0
requires a,1,1,0
a large,1,1,2
large amount,1,0,0
amount of,2,3,4
of time,4,10,4
time travel,1,0,0
travel and,1,0,0
and kidnapping,1,0,0
kidnapping austin,1,0,0
austin powers,1,5,9
powers father,1,0,0
father england,1,0,0
england s,1,0,1
s master,1,0,0
master spy,1,0,0
spy nigel,1,0,0
nigel powers,1,0,0
chases,2,5,2
as austin,1,0,1
austin chases,1,0,0
chases dr,1,0,0
stops,3,2,2
1975,2,3,0
connect,1,3,3
girlfriend,7,0,1
foxy,1,0,0
cleopatra,1,0,0
requests,1,0,0
track,7,1,1
villains,2,1,2
save,8,10,1
evil mini,1,0,0
me and,1,0,1
and goldmember,1,0,0
goldmember through,1,0,0
through time,1,0,0
time he,2,1,1
he stops,1,0,0
stops in,1,1,0
in 1975,2,0,0
1975 to,1,0,0
to connect,1,0,0
connect with,1,2,0
an old,2,1,6
old girlfriend,1,0,0
girlfriend detective,1,0,0
detective foxy,1,0,0
foxy cleopatra,1,0,0
cleopatra and,1,0,0
and requests,1,0,0
requests her,1,0,0
her help,2,0,0
help to,1,0,1
to track,5,0,1
track the,1,0,0
the villains,1,0,0
villains and,1,0,0
and save,3,1,0
save his,1,0,0
his father,7,0,0
capitalizing,1,0,0
fame,6,0,3
star,10,26,33
hogan,1,0,1
heroes,2,4,6
bob,2,2,2
crane,2,2,5
greg,1,1,1
kinnear,1,0,9
dove,1,0,0
freewheeling,1,0,0
spirit,2,7,17
60s,1,1,6
70s,2,3,1
relish,1,0,0
having,8,10,11
affairs,2,0,0
numerous,3,1,1
capitalizing on,1,0,0
on his,5,2,8
his fame,1,0,0
fame as,1,0,0
the star,3,6,3
star of,2,1,3
of hogan,1,0,1
hogan s,1,0,1
s heroes,1,0,1
heroes bob,1,0,0
bob crane,1,1,2
crane greg,1,0,0
greg kinnear,1,0,1
kinnear dove,1,0,0
dove into,1,0,0
into the,14,14,20
the freewheeling,1,0,0
freewheeling spirit,1,0,0
spirit of,1,3,2
the 60s,1,1,2
60s and,1,0,1
and 70s,1,0,0
70s with,1,0,0
with relish,1,0,0
relish having,1,0,0
having affairs,1,0,0
affairs with,1,0,0
with numerous,1,0,0
numerous women,1,0,0
teamed,2,0,0
video,4,39,11
technician,1,0,1
carpenter,1,3,1
document,3,0,4
exploits,1,2,1
association,1,1,0
may,5,39,75
very,12,57,57
led,7,0,1
murder,19,10,4
scottsdale,1,0,0
arizona,1,0,0
motel,3,0,0
room,7,6,7
1978,1,1,0
remains,2,8,8
officially,1,1,0
unsolved,2,0,1
eventually crane,1,0,0
crane teamed,1,0,0
teamed up,2,0,0
with video,1,0,0
video technician,1,0,0
technician john,1,0,0
john carpenter,1,3,1
carpenter to,1,0,0
to document,2,0,1
document his,1,0,0
his exploits,1,0,0
exploits an,1,0,0
an association,1,0,0
association that,1,0,0
that may,2,0,5
may very,1,0,0
very well,1,2,3
well have,1,3,0
have led,1,0,0
led to,1,0,0
his murder,1,0,0
murder in,2,0,0
a scottsdale,1,0,0
scottsdale arizona,1,0,0
arizona motel,1,0,0
motel room,2,0,0
room in,1,0,0
in 1978,1,0,0
1978 which,1,0,0
which remains,1,0,0
remains officially,1,0,0
officially unsolved,1,0,0
unsolved to,1,0,0
to this,3,2,7
this day,1,0,2
cia,7,0,1
agent,16,1,1
killed,12,1,1
during,13,10,5
nuclear,5,2,0
arms,3,1,1
purchase,1,0,0
oakes,1,0,0
anthony,2,6,1
hopkins,3,9,3
recruits,3,0,0
twin,7,0,2
brother,11,3,10
jake,4,0,1
hayes,1,0,0
chris,4,8,4
rock,3,15,10
a cia,1,0,1
cia agent,3,0,0
agent is,2,0,0
is killed,3,0,0
killed during,2,0,0
during a,1,1,0
a nuclear,1,0,0
nuclear arms,1,0,0
arms purchase,1,0,0
purchase his,1,0,0
his partner,4,0,0
partner oakes,1,0,0
oakes anthony,1,0,0
anthony hopkins,2,6,0
hopkins recruits,1,0,0
recruits his,2,0,0
his twin,2,0,1
twin brother,3,0,1
brother jake,1,0,0
jake hayes,1,0,0
hayes chris,1,0,0
chris rock,2,5,0
had,10,37,20
no,22,130,65
idea,5,22,9
let,4,13,3
worked,1,5,4
jake had,1,0,0
had no,1,1,0
no idea,2,1,1
idea he,1,0,0
he had,1,1,2
had a,2,6,2
a twin,1,0,0
brother let,1,0,0
let alone,1,2,0
alone that,1,0,0
that he,23,8,8
he worked,1,0,0
worked for,1,0,1
for the,35,72,71
the cia,3,0,0
jake a,1,0,0
k,4,9,9
michael,16,11,16
turner,1,0,1
nine,1,1,0
days,5,15,6
fill,1,2,1
place,9,13,17
michael turner,1,0,0
turner has,1,0,0
has nine,1,0,0
nine days,1,0,0
days to,1,0,0
to fill,1,2,1
